fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2)
3.189,3.057,9.393,9.087,8.101,7.019,6.455
3.257,3.057,9.087,8.101,7.019,6.455,5.860
3.326,3.057,8.101,7.019,6.455,5.860,5.141
3.397,3.057,7.019,6.455,5.860,5.141,4.736
3.470,3.057,6.455,5.860,5.141,4.736,4.656
3.544,3.057,5.860,5.141,4.736,4.656,4.356
3.619,3.057,5.141,4.736,4.656,4.356,3.855
3.697,3.057,4.736,4.656,4.356,3.855,3.360
3.775,3.057,4.656,4.356,3.855,3.360,3.018
3.856,3.057,4.356,3.855,3.360,3.018,2.780
3.938,3.057,3.855,3.360,3.018,2.780,2.734
4.022,3.057,3.360,3.018,2.780,2.734,2.860
4.108,3.057,3.018,2.780,2.734,2.860,2.738
4.196,3.057,2.780,2.734,2.860,2.738,2.150
4.285,3.057,2.734,2.860,2.738,2.150,1.880
4.376,3.057,2.860,2.738,2.150,1.880,2.107
4.470,3.057,2.738,2.150,1.880,2.107,2.297
4.565,3.057,2.150,1.880,2.107,2.297,2.154
4.663,3.057,1.880,2.107,2.297,2.154,1.929
4.762,3.057,2.107,2.297,2.154,1.929,1.732
4.864,3.057,2.297,2.154,1.929,1.732,1.685
4.967,3.057,2.154,1.929,1.732,1.685,1.648
5.073,3.057,1.929,1.732,1.685,1.648,1.484
5.181,3.057,1.732,1.685,1.648,1.484,1.484
5.292,3.057,1.685,1.648,1.484,1.484,1.741
5.405,3.057,1.648,1.484,1.484,1.741,2.181
5.520,3.057,1.484,1.484,1.741,2.181,2.308
5.638,3.057,1.484,1.741,2.181,2.308,2.324
5.758,3.057,1.741,2.181,2.308,2.324,2.058
5.881,3.057,2.181,2.308,2.324,2.058,1.686
6.006,3.057,2.308,2.324,2.058,1.686,1.235
6.134,3.057,2.324,2.058,1.686,1.235,0.989
6.265,3.057,2.058,1.686,1.235,0.989,1.030
6.399,3.057,1.686,1.235,0.989,1.030,0.914
6.535,3.057,1.235,0.989,1.030,0.914,0.693
6.675,3.057,0.989,1.030,0.914,0.693,0.610
6.817,3.057,1.030,0.914,0.693,0.610,0.591
6.962,3.057,0.914,0.693,0.610,0.591,0.558
7.111,3.057,0.693,0.610,0.591,0.558,0.482
7.263,3.057,0.610,0.591,0.558,0.482,0.645
7.418,3.057,0.591,0.558,0.482,0.645,0.631
7.576,3.057,0.558,0.482,0.645,0.631,0.555
7.737,3.057,0.482,0.645,0.631,0.555,0.612
7.902,3.057,0.645,0.631,0.555,0.612,0.632
8.071,3.057,0.631,0.555,0.612,0.632,0.715
8.243,3.057,0.555,0.612,0.632,0.715,0.801
8.419,3.057,0.612,0.632,0.715,0.801,0.937
8.598,3.057,0.632,0.715,0.801,0.937,0.914
8.782,3.057,0.715,0.801,0.937,0.914,0.884
8.969,3.057,0.801,0.937,0.914,0.884,0.818
9.160,3.057,0.937,0.914,0.884,0.818,0.885
9.356,3.057,0.914,0.884,0.818,0.885,0.833
9.555,3.057,0.884,0.818,0.885,0.833,0.897
9.759,3.057,0.818,0.885,0.833,0.897,0.915
9.967,3.057,0.885,0.833,0.897,0.915,0.915
10.000,3.057,0.833,0.897,0.915,0.915,0.915
