fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2),AMR(fi-2),AMR(fi-1),AMR(fi),AMR(fi+1),AMR(fi+2),pSAF
0.713000,3.057000,4.029000,3.895000,3.761000,3.627000,3.511000,1.767058,1.705557,1.727753,1.726054,1.824794,6.498081
0.728000,3.057000,3.895000,3.761000,3.627000,3.511000,3.394000,1.773398,1.711914,1.730567,1.730340,1.827224,6.276767
0.743000,3.057000,3.761000,3.627000,3.511000,3.394000,3.278000,1.780551,1.719322,1.734148,1.735406,1.830117,6.088593
0.759000,3.057000,3.627000,3.511000,3.394000,3.278000,3.169000,1.781404,1.721428,1.735732,1.736156,1.829644,5.891073
0.775000,3.057000,3.511000,3.394000,3.278000,3.169000,3.068000,1.781837,1.723643,1.737699,1.737175,1.829093,5.696178
0.792000,3.057000,3.394000,3.278000,3.169000,3.068000,2.966000,1.782148,1.725942,1.739900,1.738118,1.828328,5.513744
0.809000,3.057000,3.278000,3.169000,3.068000,2.966000,2.867000,1.782338,1.728254,1.742180,1.738997,1.827388,5.345008
0.826000,3.057000,3.169000,3.068000,2.966000,2.867000,2.771000,1.782321,1.730508,1.744479,1.739726,1.826128,5.174125
0.844000,3.057000,3.068000,2.966000,2.867000,2.771000,2.674000,1.784163,1.730370,1.742839,1.739662,1.826968,4.996720
0.862000,3.057000,2.966000,2.867000,2.771000,2.674000,2.576000,1.786294,1.730503,1.741521,1.739707,1.828172,4.825755
0.880000,3.057000,2.867000,2.771000,2.674000,2.576000,2.478000,1.788995,1.731486,1.741356,1.740179,1.830223,4.656386
0.899000,3.057000,2.771000,2.674000,2.576000,2.478000,2.374000,1.792217,1.732941,1.741500,1.740845,1.832737,4.486105
0.918000,3.057000,2.674000,2.576000,2.478000,2.374000,2.271000,1.794352,1.732873,1.740107,1.740579,1.833327,4.311985
0.938000,3.057000,2.576000,2.478000,2.374000,2.271000,2.167000,1.787868,1.723689,1.730190,1.733019,1.825464,4.107471
0.958000,3.057000,2.478000,2.374000,2.271000,2.167000,2.060000,1.781270,1.714020,1.719794,1.724921,1.816867,3.905652
0.978000,3.057000,2.374000,2.271000,2.167000,2.060000,1.953000,1.774298,1.703487,1.708645,1.716014,1.807086,3.702633
0.999000,3.057000,2.271000,2.167000,2.060000,1.953000,1.865000,1.767764,1.692611,1.698015,1.706545,1.796638,3.497911
1.020000,3.057000,2.167000,2.060000,1.953000,1.865000,1.785000,1.763292,1.682793,1.688945,1.697664,1.786547,3.298509
1.042000,3.057000,2.060000,1.953000,1.865000,1.785000,1.735000,1.759319,1.672665,1.681349,1.688467,1.776059,3.135716
1.064000,3.057000,1.953000,1.865000,1.785000,1.735000,1.712000,1.753930,1.661134,1.673750,1.678210,1.764142,2.987644
1.087000,3.057000,1.865000,1.785000,1.735000,1.712000,1.713000,1.749654,1.651867,1.669095,1.669800,1.754536,2.895880
1.110000,3.057000,1.785000,1.735000,1.712000,1.713000,1.745000,1.744415,1.643632,1.666402,1.662404,1.746397,2.852880
1.134000,3.057000,1.735000,1.712000,1.713000,1.745000,1.796000,1.739969,1.638776,1.666976,1.658146,1.741783,2.855529
1.158000,3.057000,1.712000,1.713000,1.745000,1.796000,1.869000,1.734177,1.634897,1.667391,1.656385,1.736390,2.909597
1.183000,3.057000,1.713000,1.745000,1.796000,1.869000,1.961000,1.727960,1.633105,1.669291,1.656745,1.732151,2.998047
1.208000,3.057000,1.745000,1.796000,1.869000,1.961000,2.069000,1.724591,1.635761,1.675052,1.660545,1.732063,3.130672
1.234000,3.057000,1.796000,1.869000,1.961000,2.069000,2.192000,1.723679,1.641864,1.684201,1.666895,1.734918,3.302719
1.260000,3.057000,1.869000,1.961000,2.069000,2.192000,2.321000,1.733596,1.650983,1.690459,1.677481,1.742109,3.497559
1.287000,3.057000,1.961000,2.069000,2.192000,2.321000,2.437000,1.749003,1.664132,1.699435,1.691139,1.753931,3.725162
1.314000,3.057000,2.069000,2.192000,2.321000,2.437000,2.547000,1.765383,1.680264,1.712680,1.705986,1.768442,3.975130
1.342000,3.057000,2.192000,2.321000,2.437000,2.547000,2.606000,1.774177,1.691005,1.722534,1.714657,1.779171,4.197815
